train_bce_mask:2.916073274779556 train_dice:0.9262134982878556 train_bce_center:0.017536582375026966 train_dice_center:0.22049337443426262 train_l2_width:0.0854006732700483 train_l2_height:0.07601109229905986 train_loss:0.3994417221832783 
train_bce_mask:2.878665751122264 train_dice:0.9260707526844367 train_bce_center:0.01830131990806127 train_dice_center:0.21623109479349018 train_l2_width:0.08274736882648698 train_l2_height:0.0742167252168608 train_loss:0.39149650850894724 
train_bce_mask:2.9658675158343684 train_dice:0.92587788984745 train_bce_center:0.01775444408931626 train_dice_center:0.20741183208452493 train_l2_width:0.07117053912163039 train_l2_height:0.06502388437488642 train_loss:0.36136069971285734 
train_bce_mask:3.030108174869684 train_dice:0.9264277084484059 train_bce_center:0.017087238209673023 train_dice_center:0.20271621050179395 train_l2_width:0.06760503105811845 train_l2_height:0.060325774209925576 train_loss:0.3477342541936863 
train_bce_mask:2.554775535930664 train_dice:0.9254413227225837 train_bce_center:0.01646847215049086 train_dice_center:0.1974517684452396 train_l2_width:0.06155378784234358 train_l2_height:0.057837257288062376 train_loss:0.3333112857698836 
train_bce_mask:2.391011043190812 train_dice:0.9250780237392437 train_bce_center:0.016156297847546953 train_dice_center:0.19424672590481765 train_l2_width:0.05586749304510633 train_l2_height:0.05215504849502758 train_loss:0.3184255651623759 
train_bce_mask:2.168707069478693 train_dice:0.9229623305068547 train_bce_center:0.014398316291262595 train_dice_center:0.18144972953771604 train_l2_width:0.03877115525786015 train_l2_height:0.036587881148689605 train_loss:0.2712070826617671 
train_bce_mask:2.1447944647164516 train_dice:0.9232037098678034 train_bce_center:0.01392624305322378 train_dice_center:0.17632900295495008 train_l2_width:0.032411100833999534 train_l2_height:0.03127694334749479 train_loss:0.25394329048991265 
train_bce_mask:2.1130278514928222 train_dice:0.9231997922419465 train_bce_center:0.013647143352436525 train_dice_center:0.17273266724962988 train_l2_width:0.028569161790843522 train_l2_height:0.02846893375223796 train_loss:0.2434179060579549 
train_bce_mask:2.1347294417821123 train_dice:0.923155411634867 train_bce_center:0.013392907511735793 train_dice_center:0.1696657409717243 train_l2_width:0.026425261951421322 train_l2_height:0.026450032704109686 train_loss:0.23593394319953284 
train_bce_mask:2.1235320815032654 train_dice:0.9231636897792037 train_bce_center:0.013186731953673899 train_dice_center:0.16659277242243448 train_l2_width:0.024800454948387923 train_l2_height:0.025109397156481555 train_loss:0.22968935611713404 
train_bce_mask:2.1316426562634763 train_dice:0.9233749056023793 train_bce_center:0.012961945443518448 train_dice_center:0.16393465046645478 train_l2_width:0.023271527274358043 train_l2_height:0.02394111382482567 train_loss:0.22410923711248276 
train_bce_mask:2.1442324792759586 train_dice:0.9233785048181203 train_bce_center:0.012748037064661653 train_dice_center:0.16119556978492597 train_l2_width:0.022226088490005333 train_l2_height:0.023141781521465527 train_loss:0.21931147652284427 
train_bce_mask:2.13447849614222 train_dice:0.9233819781682155 train_bce_center:0.012529035488952286 train_dice_center:0.15803777248005893 train_l2_width:0.021049112923092368 train_l2_height:0.02205861031784395 train_loss:0.2136745311682504 
train_bce_mask:2.124717305514557 train_dice:0.9232698969573596 train_bce_center:0.012340738826467367 train_dice_center:0.15610789431446787 train_l2_width:0.02017603339064646 train_l2_height:0.021182442746390563 train_loss:0.2098071092532042 
train_bce_mask:2.090224248676563 train_dice:0.9230219429173792 train_bce_center:0.012129577463575096 train_dice_center:0.15325540028636744 train_l2_width:0.019386334429150054 train_l2_height:0.02053706756463805 train_loss:0.20530837958701417 
train_bce_mask:2.112627054099331 train_dice:0.9230918765413839 train_bce_center:0.012005135278459743 train_dice_center:0.15162713059393254 train_l2_width:0.018553372290058066 train_l2_height:0.01991751824023145 train_loss:0.2021031560800719 
train_bce_mask:2.112782410486672 train_dice:0.9229552029612447 train_bce_center:0.01184848293929559 train_dice_center:0.14934645471421307 train_l2_width:0.018014589230858212 train_l2_height:0.019143100106902018 train_loss:0.19835262694441946 
train_bce_mask:2.1722627889427093 train_dice:0.9232531690297854 train_bce_center:0.011636068546076924 train_dice_center:0.14665432489736663 train_l2_width:0.017293186024513553 train_l2_height:0.01852852094677069 train_loss:0.19411210070638452 
train_bce_mask:2.186613129537867 train_dice:0.923123687844303 train_bce_center:0.011500132362670779 train_dice_center:0.14528975648193623 train_l2_width:0.016780096177401577 train_l2_height:0.018035787431505468 train_loss:0.19160577243148982 
train_bce_mask:2.147666076919956 train_dice:0.9229320944263245 train_bce_center:0.011428565531020136 train_dice_center:0.14319875363979992 train_l2_width:0.01649877897845594 train_l2_height:0.0175394069755885 train_loss:0.18866550498776888 
train_bce_mask:2.1440507055683242 train_dice:0.9229323286954867 train_bce_center:0.011251076520923086 train_dice_center:0.141599412592376 train_l2_width:0.015813945607824207 train_l2_height:0.017125255122045303 train_loss:0.18578968981979654 
train_bce_mask:2.1456103301117437 train_dice:0.922869025292188 train_bce_center:0.011092209243805313 train_dice_center:0.13991732069993323 train_l2_width:0.015322599740851534 train_l2_height:0.016835263868669636 train_loss:0.18316739366817308 
train_bce_mask:2.150499579308256 train_dice:0.9230656987058388 train_bce_center:0.010984250362670804 train_dice_center:0.13813542122242387 train_l2_width:0.015044113639872776 train_l2_height:0.016239414622871918 train_loss:0.18040319978106592 
train_bce_mask:2.1689879377740633 train_dice:0.9232110964782232 train_bce_center:0.01085813636886549 train_dice_center:0.13708996430763393 train_l2_width:0.014689242337605692 train_l2_height:0.0159029589471199 train_loss:0.17854030192469791 
