train_bce_mask:0.03749455544166267 train_dice:0.11132487207651139 train_bce_center:0.007271958928322419 train_dice_center:0.24706928841769696 train_l2_width:0.016405063204001636 train_l2_height:0.014364996389485896 train_loss:0.43393073230981827 
train_bce_mask:0.03214448387734592 train_dice:0.09828219059854745 train_bce_center:0.00646161581389606 train_dice_center:0.22915928438305855 train_l2_width:0.014569046802353113 train_l2_height:0.013200961833354086 train_loss:0.3938175946474075 
train_bce_mask:0.029063176875934005 train_dice:0.09367066528648138 train_bce_center:0.0058054989902302625 train_dice_center:0.21904393546283246 train_l2_width:0.013374683493748308 train_l2_height:0.012709471886046231 train_loss:0.37366743162274363 
train_bce_mask:0.028380566742271185 train_dice:0.09095131494104862 train_bce_center:0.0057131398061756045 train_dice_center:0.21574579291045665 train_l2_width:0.01303288274211809 train_l2_height:0.012328089436050505 train_loss:0.3661517895758152 
train_bce_mask:0.02765026087872684 train_dice:0.08778633810579776 train_bce_center:0.005731458187801764 train_dice_center:0.21489301957190038 train_l2_width:0.013249130919575691 train_l2_height:0.012222107825800776 train_loss:0.3615323148667812 
train_bce_mask:0.027303807716816664 train_dice:0.0862722816877067 train_bce_center:0.005715433874865994 train_dice_center:0.21087158396840094 train_l2_width:0.013090409128926695 train_l2_height:0.01194767301203683 train_loss:0.35520119294524194 
train_bce_mask:0.025972277414985 train_dice:0.0839114080183208 train_bce_center:0.005532948952168226 train_dice_center:0.20667306445538997 train_l2_width:0.012785917660221458 train_l2_height:0.012604201526846737 train_loss:0.3474798187613487 
train_bce_mask:0.02602406106889248 train_dice:0.0843153141438961 train_bce_center:0.005415656720288098 train_dice_center:0.2034716460853815 train_l2_width:0.012651101453229785 train_l2_height:0.01158353314967826 train_loss:0.34346131049096584 
train_bce_mask:0.025730409240350128 train_dice:0.08236476797610522 train_bce_center:0.005442398943705485 train_dice_center:0.20297241248190404 train_l2_width:0.012684893480036407 train_l2_height:0.011554372287355364 train_loss:0.34074925556778907 
train_bce_mask:0.0257344591896981 train_dice:0.08274190751835704 train_bce_center:0.005360407446278259 train_dice_center:0.2003181077539921 train_l2_width:0.012457527895458042 train_l2_height:0.011640127375721931 train_loss:0.3382525332272053 
train_bce_mask:0.024924846296198667 train_dice:0.08069829661399126 train_bce_center:0.005360142671270296 train_dice_center:0.1994139574468136 train_l2_width:0.01256951125105843 train_l2_height:0.011184610618511216 train_loss:0.3341513678431511 
train_bce_mask:0.02525974449235946 train_dice:0.08038784116506577 train_bce_center:0.005338659626431763 train_dice_center:0.1963432004675269 train_l2_width:0.012699064094340429 train_l2_height:0.011171082529472187 train_loss:0.33119959384202957 
train_bce_mask:0.024793762154877184 train_dice:0.07987115122377872 train_bce_center:0.005335780803579837 train_dice_center:0.19551786445081235 train_l2_width:0.012185675580985844 train_l2_height:0.011723474855534733 train_loss:0.3294277053326368 
train_bce_mask:0.024338761949911712 train_dice:0.07908693710342049 train_bce_center:0.005436969711445272 train_dice_center:0.19427251517772676 train_l2_width:0.012806370586622507 train_l2_height:0.01157518815016374 train_loss:0.3275167398154736 
train_bce_mask:0.024580373987555505 train_dice:0.07925019655376672 train_bce_center:0.005375055473996327 train_dice_center:0.1927774116396904 train_l2_width:0.012074085045605898 train_l2_height:0.010877216781955213 train_loss:0.3249343402683735 
train_bce_mask:0.024057054752483965 train_dice:0.07793656829744577 train_bce_center:0.005291079741436988 train_dice_center:0.19116718787699938 train_l2_width:0.01208941249642521 train_l2_height:0.010889616271015257 train_loss:0.3214309126138687 
train_bce_mask:0.023744083545170724 train_dice:0.07725716084241867 train_bce_center:0.0052294035151135175 train_dice_center:0.18889179043471813 train_l2_width:0.01202081034425646 train_l2_height:0.010724115872289986 train_loss:0.31786736138164995 
train_bce_mask:0.02358656150754541 train_dice:0.07675640229135752 train_bce_center:0.005250929738394916 train_dice_center:0.18860701024532317 train_l2_width:0.012091589561896399 train_l2_height:0.011001410335302353 train_loss:0.3172939050942659 
train_bce_mask:0.02392142787575722 train_dice:0.07793019888922573 train_bce_center:0.005206866172375158 train_dice_center:0.18741628751158715 train_l2_width:0.012055475357919931 train_l2_height:0.01072933579562232 train_loss:0.3172595925629139 
